Number,Parent Cell,rho (A-B),Angle of Differentiation (two daughters)
1,P0,63.77715134,1.851178019
2,AB,53.91687884,13.83827882
3,P1,54.41892048,12.18879865
4,ABa,31.00950445,47.35489066
5,ABp,29.8063454,20.84729418
6,P2,23.87062726,40.53310506
7,EMS,42.8773763,8.140748471
8,ABal,14.67165924,117.8452503
9,ABar,28.57591393,32.08978338
10,ABpl,35.53469869,32.45151189
11,ABpr,21.28542829,50.76923935
12,C,34.55432985,6.836891952
13,P3,22.132628,29.15672068
14,E,21.06634805,6.294477093
15,MS,31.07047802,16.44637816
16,ABala,12.69211824,57.3179197
17,ABalp,26.24731609,6.935019199
18,ABara,28.25963306,14.34119705
19,ABarp,36.47515399,0.110207462
20,ABpla,33.98928128,0.661080577
21,ABplp,29.56883318,10.92836554
22,ABpra,31.12661341,2.721929533
23,ABprp,29.50979368,1.334671273
24,Ca,28.04923226,23.3612796
25,Cp,20.98737703,44.87184569
26,D,30.17108648,13.39084779
27,Ea,33.19644625,26.68423114
28,Ep,15.99155519,44.25489019
29,MSa,28.21557688,5.693224369
30,MSp,33.26405901,6.922745523
32,ABalaa,15.1716989,35.9442243
33,ABalap,19.82048248,23.763118
34,ABalpa,18.600219,35.76573091
35,ABalpp,22.86432659,11.24012343
36,ABaraa,20.82753541,26.63392214
37,ABarap,25.21260231,19.31470078
38,ABarpa,21.25089573,23.34130547
39,ABarpp,25.74890252,3.923345802
40,ABplaa,16.65394212,49.57322591
41,ABplap,18.51281621,49.27672073
42,ABplpa,24.80853941,10.64900957
43,ABplpp,22.36449506,15.06087643
44,ABpraa,23.60267996,15.11505165
45,ABprap,39.61801543,5.796031622
46,ABprpa,17.1774382,40.55034264
47,ABprpp,11.36518021,88.05223425
48,Caa,34.66317063,15.8101173
49,Cap,19.19994272,4.126764048
50,Cpa,13.83553088,73.54956205
51,Cpp,7.042120456,139.8625878
52,Da,27.309291,0.541072645
53,Dp,29.61455029,2.587091384
54,Eal,25.69643368,6.153514378
55,Ear,19.00291876,2.493492984
56,Epl,19.83928159,3.232217045
57,Epr,20.27981913,6.725481064
58,MSaa,26.33380024,10.54193566
59,MSap,21.13834423,0.887513525
60,MSpa,25.56304614,23.1216664
61,MSpp,22.41729146,27.0387937
63,ABalaap,23.883849,2.641085902
64,ABalapa,15.07064626,18.65210276
65,ABalapp,21.18937526,6.163658312
66,ABalpaa,9.153402663,31.74692786
68,ABalpap,21.78807418,11.50209192
69,ABalppa,17.71075603,8.178918416
70,ABalppp,19.71875202,7.54778847
71,ABaraaa,17.30532456,20.95696004
72,ABaraap,22.21414381,5.614083709
73,ABarapa,19.48649411,5.677804943
74,ABarapp,15.21165503,8.875896709
75,ABarpaa,19.05969893,4.033371895
76,ABarpap,21.82556108,1.445781525
77,ABarppa,19.20766945,20.99936576
78,ABarppp,21.92108126,10.77070206
79,ABplaaa,21.44106816,7.810796786
80,ABplaap,23.44222804,2.414274529
81,ABplapa,20.01535396,6.067050162
82,ABplapp,27.02021954,6.020549891
83,ABplpaa,36.24353951,0.745683884
84,ABplpap,35.6536437,0.117368455
85,ABplppa,23.77870472,3.300388639
86,ABplppp,15.97834324,6.922125508
87,ABpraaa,17.25780173,8.678552616
88,ABpraap,19.23387764,10.50665872
89,ABprapa,21.99752188,1.119084488
90,ABprapp,14.37743786,35.03217123
91,ABprpaa,32.44070726,0.250106498
92,ABprpap,26.28731357,15.31614313
93,ABprppa,35.75281553,9.094980638
94,ABprppp,8.090659081,109.1356033
95,Caaa,80.06422781,2.866120855
96,Caap,65.66264084,3.05909664
97,Capa,13.38090332,15.12620332
98,Capp,8.162685681,37.3540722
99,Cpaa,22.83589118,7.273628246
100,Cpap,31.75174643,12.63129845
101,Cppa,52.88784137,5.144405937
102,Cppp,8.0330273,31.75879015
103,Daa,30.89099302,3.951564778
104,Dap,38.67207229,7.708628703
105,Dpa,44.90819059,8.378511282
106,Dpp,49.20568264,8.896456841
115,MSaaa,23.04610957,3.164839882
116,MSaap,24.32870056,2.769869523
117,MSapa,17.11809274,7.797098138
118,MSapp,14.79961861,7.726303657
119,MSpaa,20.34304677,12.73791155
120,MSpap,23.50783508,5.968931296
121,MSppa,41.47344858,1.129032688
122,MSppp,29.16205807,1.013437447
125,ABalaapa,16.62788231,19.31975752
126,ABalaapp,35.53512434,2.375443915
127,ABalapaa,7.937493681,38.9174986
128,ABalapap,17.56785532,7.493235803
129,ABalappa,36.11521583,7.665387883
134,ABalpapp,17.04893066,2.463817337
135,ABalppaa,9.746419025,29.97705184
144,ABarapap,14.67655391,8.155991192
145,ABarappa,20.60286394,0.754982646
146,ABarappp,47.67803189,1.03552068
148,ABarpaap,22.97413143,2.850759622
149,ABarpapa,19.95499024,1.760172552
150,ABarpapp,15.44625423,4.374603461
151,ABarppaa,36.23689423,3.845409457
155,ABplaaaa,22.78900173,5.833698255
156,ABplaaap,35.41975604,1.560770909
157,ABplaapa,25.73021788,1.602043986
159,ABplapaa,56.60364568,0.321543636
160,ABplapap,82.34226535,0.592018012
162,ABplappp,65.38842274,1.506421509
163,ABplpaaa,15.4494682,9.292908062
164,ABplpaap,18.3141364,0.117921098
171,ABpraaaa,34.37508561,4.662589148
173,ABpraapa,36.71534514,0.273319804
175,ABprapaa,19.0419626,2.205052272
176,ABprapap,30.16347704,11.63077957
177,ABprappa,16.68195515,13.68551738
179,ABprpaaa,22.64883991,3.490399832
180,ABprpaap,54.571168,0.142869618
182,ABprpapp,51.30127209,0.066560316
183,ABprppaa,52.34376634,2.310843525
184,ABprppap,39.15896071,2.14118108
186,ABprpppp,38.75347305,7.661999977
191,Capaa,16.64466303,31.3093474
192,Capap,10.51855341,27.18042325
193,Cappa,19.14907668,3.166399941
194,Cappp,4.996418638,101.714649
199,Cppaa,14.738106,20.42363997
200,Cppap,14.35805986,30.56234375
201,Cpppa,22.2123438,6.398765318
206,Dapp,17.4263661,7.168117935
210,Dppp,20.96026185,13.62106617
214,MSaaaa,14.28038024,19.17896276
215,MSaaap,14.855,2.93029356
216,MSaapa,18.409348,3.302649404
217,MSaapp,12.32268928,18.19843868
218,MSapaa,29.79930384,0.583894684
219,MSapap,15.8619482,7.542335937
220,MSappa,14.48694749,7.002486101
221,MSappp,25.72220265,7.408869202
222,MSpaaa,30.4391787,3.406095144
224,MSpapa,17.2973572,0.832670513
225,MSpapp,10.5645553,7.358304582
226,MSppaa,58.09617964,0.568969367
227,MSppap,52.9907418,0.960921185
228,MSpppa,41.72987696,2.300141587
229,MSpppp,51.08891608,1.446715136
230,ABalaapaa,12.87960535,17.87217327
239,ABalappap,23.71856688,10.17891598
240,ABalapppa,31.00026363,6.266476501
241,ABalpappa,17.81573753,5.079515939
242,ABalpappp,15.515673,4.774490144
245,ABalppapa,11.96237545,4.560608004
246,ABalpppap,9.579092,3.060248723
249,ABarapapp,21.826024,37.09099053
252,ABarapppa,23.35923421,0.810761092
253,ABarapppp,21.19136768,8.284618103
254,ABarpaaaa,10.5131019,35.79668361
258,ABarpapaa,13.2023719,7.590284312
264,ABarppapa,22.0164764,3.501354308
266,ABarpppaa,16.08983718,4.248456834
268,ABarppppa,20.06222445,7.045387227
270,ABplaaaaa,13.00962395,2.276972713
290,ABalapaapa,8.98552305,19.57903573
304,ABalappppp,15.34194271,1.27610152
305,ABalpaaaaa,12.93357436,2.412772807
307,ABalpaaapa,10.76352966,1.477561355
311,ABalpaappa,12.50715865,9.657707156
313,ABalpapaaa,12.50747446,1.711095622
316,ABalpapapap,13.54582405,2.678900742
327,ABalppappa,13.69729715,7.126373636
330,ABalpppaaa,5.50756085,7.037502145
335,ABalppppaa,10.03479151,8.222382142
338,ABalpppppa,14.42023005,20.73546038
339,ABalpppppp,29.64594456,17.10593189
342,ABaraaaaaa,9.3211588,46.93857326
345,ABaraaapaa,13.44151589,3.385047297
347,ABaraaappa,11.1412563,14.25012959
349,ABaraapaaa,11.8566357,3.045781375
353,ABaraapapp,12.1067248,7.68204963
354,ABaraappaa,12.91773718,3.984158527
358,ABaraapppp,13.24194435,3.034112579
359,ABarapaaaa,9.8334966,0.184322327
361,ABarapaapa,11.84250176,1.586259175
389,ABplaapaa,13.5253935,7.253551783
392,ABplaapap,11.86524045,13.00054956
396,ABplaappa,18.50437473,2.449570992
398,ABplapaaa,20.66411274,4.682998061
411,ABplappaa,17.3918386,0.982565095
413,ABplapppa,21.07288354,9.370877202
418,ABplpaaaa,14.25952441,12.27189069
421,ABplpaaap,10.4302435,4.021200527
425,ABplpaapa,11.67094865,16.81488888
428,ABplpaapp,10.2651854,5.939190385
432,ABplpapaa,17.77560429,6.908984583
435,ABplpapapa,13.4033344,16.58181473
442,ABplppaapa,12.99482729,8.800701009
447,ABplppappa,13.16329361,7.162109512
449,ABplpppaaa,13.75521729,7.222933678
454,ABplppppaa,13.0169038,12.31606618
456,ABplppppp,16.11319976,4.670996713
459,ABpraaaaa,7.24241355,27.30700971
462,ABpraaaap,9.3458486,24.93069543
466,ABpraaapa,12.94966778,16.27413973
470,ABpraaapp,12.93257615,11.35611979
472,ABpraaappp,16.6506092,41.96710143
475,ABpraapaa,48.79856415,3.402201482
478,ABpraapap,38.78669701,0.089262624
482,ABpraappa,18.9412302,7.83398466
498,ABprapppa,8.6153521,24.37988476
503,ABprpaaaa,12.898021,14.41167722
504,ABprpaaaaa,25.56325884,10.60860417
506,ABprpaaap,16.85034215,2.268054438
510,ABprpaapa,36.85667843,6.029687508
513,ABprpaapp,26.9584541,0.905207155
517,ABprpapaa,12.3384864,7.576921929
520,ABprpapap,13.2215015,8.44412416
523,ABprpappa,20.03131856,10.81499115
526,ABprpappp,15.78966135,14.54146688
531,ABprppaap,13.06854595,9.84333141
534,ABprppapa,23.64758598,1.068475832
538,ABprppapp,13.72869955,4.696847188
541,ABprpppaa,6.368595625,37.528944
546,ABprppppa,10.84172744,115.4899072
551,ABprppppp,11.87641245,17.14917396
575,MSaaaaa,11.45043575,8.824710434
581,MSaaaap,21.4776928,5.916597485
586,MSaaapa,12.91781205,8.458630099
592,MSaapaa,11.01957899,17.67017827
598,MSaapap,15.30007981,5.734348492
602,MSaappp,16.4073574,8.049954051
614,MSpaaaa,14.49661624,3.916015046
617,MSpaaap,14.24046605,9.228131892
620,MSpaapa,14.24334246,2.935732673
623,MSpapaa,12.7421416,10.1490374
627,MSpapap,12.09932334,5.663591274
631,MSpappp,11.97779265,17.51735188
